n	seed	thread	algorithm
10000000	40	1	i-slope
10000000	41	1	i-slope
10000000	42	1	i-slope
10000000	43	1	i-slope
10000000	44	1	i-slope
10000000	45	1	i-slope
10000000	46	1	i-slope
10000000	47	1	i-slope
10000000	48	1	i-slope
10000000	49	1	i-slope
