dataset l1 ns
0 5.093 2.455
1 4.545 2.464
2 4.682 2.675
3 6.606 2.765
4 9.376 3.2230000000000003
5 8.68 3.27
6 10.749 3.658
7 12.72 4.154
8 13.01 4.1739999999999995
9 13.46 4.258
10 16.226 5.063
