n-thds binary-linear-median binary-linear-quantile interpolation-linear-median interpolation-linear-quantile interpolation-recurse-median interpolation-recurse-quantile
1 15.008000000000001 0.020447428038379397 3.8520000000000003 0.36766614745586723 12.770999999999999 0.23827421501840101
2 15.04425 0.021686026222643078 3.8625 0.3814239482200648 12.735500000000002 0.2243924463114914
3 15.463750000000001 0.020006466736722933 3.9965 0.37589140497935686 13.154 0.20658164816785773
4 15.96725 0.01748892263852547 4.106 0.37652216268874816 13.4465 0.20938534191053448
